Name,Experience,Age,Consistency,Skill,Speed,Adaptability,FinalPosition,Podiums,Poles,Fastest Laps,Best Finish,Best Grid
Nikolas Taylor,10,28,8,9,9,7,1,7,2,4,1,1
Jarrod Waberski,5,25,6,7,8,7,2,5,0,2,2,3
Max Marzorati,3,23,7,8,9,8,3,6,1,3,2,2
Tom Mills,8,31,6,9,7,6,4,4,0,1,3,4
Jack Sherwood,2,20,5,7,8,7,5,3,1,2,3,5
Megan Gilkes,4,22,7,8,7,9,6,2,0,0,4,6
Jessica Edgar,6,26,8,9,9,7,7,8,2,3,5,2
Alex Walker,9,29,9,9,8,6,8,10,0,1,6,7
Chloe Grant,7,27,7,8,8,7,9,6,0,1,7,8
Logan Hannah,3,23,6,7,7,9,10,1,0,0,8,9
Elias Adestam,2,20,5,7,7,7,11,0,0,0,9,10
Christian Lester,5,25,7,8,8,8,12,0,0,0,10,11
William Macintyre,1,19,4,6,7,6,13,0,0,0,11,12
Lucas Romanek,6,26,8,9,9,7,14,0,0,0,12,13
Daryl De Leon,4,22,6,7,8,7,15,0,0,0,13,14
Marcus Short,3,23,5,6,7,7,16,0,0,0,14,15
Oliver Clarke,7,27,8,9,9,8,17,0,0,0,15,16
Aqil Alibhai,2,20,4,6,7,7,18,0,0,0,16,17
George Line,8,31,9,9,8,6,19,0,0,0,17,18
Danny Harrison,6,26,7,8,8,7,20,0,0,0,18,19
Carl Bennett,4,22,6,7,7,7,21,0,0,0,19,20
