Name,Experience,Age,Consistency,Skill,Speed,Adaptability,FinalPosition,Podiums,Poles,Fastest Laps,Best Finish,Best Grid
Lewis Hamilton,15,37,10,10,10,10,1,15,4,6,1,1
Max Verstappen,8,24,9,10,10,9,2,16,5,5,1,2
Valtteri Bottas,9,32,9,9,9,8,3,12,2,2,1,3
Alexander Albon,4,25,7,8,8,8,4,3,0,0,4,4
Charles Leclerc,4,24,8,9,9,8,5,10,3,3,1,5
Lando Norris,3,22,8,8,8,8,6,7,0,0,3,6
Lance Stroll,5,23,7,8,8,8,7,5,0,1,1,7
Daniel Ricciardo,12,32,9,9,9,9,8,14,1,2,1,8
Sergio Perez,11,31,9,9,9,9,9,11,0,2,1,9
Esteban Ocon,5,25,8,8,8,8,10,4,0,0,4,10
Carlos Sainz,7,27,8,8,8,8,11,6,0,0,5,11
Pierre Gasly,4,25,7,8,8,8,12,1,0,1,1,12
Sebastian Vettel,14,34,9,9,9,8,13,13,0,1,1,13
Nico Hulkenberg,10,34,8,8,8,8,14,1,0,0,2,14
Antonio Giovinazzi,3,28,7,7,7,7,15,0,0,0,5,15
Daniil Kvyat,7,27,7,7,7,7,16,0,0,0,6,16
Kevin Magnussen,7,29,7,7,7,7,17,0,0,0,7,17
Kimi Räikkönen,20,42,10,9,9,8,18,21,1,1,1,18
Nicholas Latifi,2,26,6,6,6,7,19,0,0,0,8,19
George Russell,3,23,7,7,7,8,20,1,0,0,1,20
Romain Grosjean,10,35,8,8,8,7,21,1,0,0,2,21
