Name,Experience,Age,Consistency,Skill,Speed,Adaptability,FinalPosition,Podiums,Poles,Fastest Laps,Best Finish,Best Grid
Chase Elliott,7,26,9,10,9,8,1,10,2,3,1,1
Kyle Busch,18,37,10,10,9,8,2,15,4,5,1,2
Ross Chastain,4,28,7,8,8,7,3,5,0,0,3,3
Ryan Blaney,9,27,9,9,8,8,4,12,2,2,1,4
Martin Truex Jr.,17,41,10,10,9,8,5,18,3,3,1,5
Joey Logano,14,32,10,9,8,8,6,20,4,4,1,6
Kyle Larson,9,29,10,10,10,9,7,22,8,7,1,7
Alex Bowman,7,28,9,9,8,7,8,10,1,1,1,8
William Byron,4,24,8,9,8,8,9,8,1,1,2,9
Christopher Bell,3,26,8,8,8,7,10,6,0,0,3,10
Aric Almirola,15,38,9,9,8,8,11,16,1,2,1,11
Tyler Reddick,3,26,8,8,8,8,12,4,0,0,4,12
Kevin Harvick,22,45,10,10,9,8,13,24,5,5,1,13
Chase Briscoe,1,27,6,7,7,7,14,1,0,0,2,14
Erik Jones,6,25,8,8,8,7,15,9,0,0,3,15
Austin Dillon,9,31,9,8,8,7,16,14,2,2,1,16
Kurt Busch,22,43,10,9,8,8,17,25,2,2,1,17
Austin Cindric,1,23,6,7,7,7,18,0,0,0,4,18
Daniel Suárez,6,29,8,8,8,7,19,7,0,0,5,19
Denny Hamlin,17,40,10,10,9,8,20,26,3,4,1,20
Michael McDowell,14,37,9,8,7,7,21,1,1,1,1,21
Bubba Wallace,5,27,7,7,7,7,22,0,0,0,3,22
Justin Haley,1,22,6,6,6,7,23,0,0,0,5,23
Chris Buescher,6,28,8,8,7,7,24,1,0,0,7,24
Ricky Stenhouse Jr.,12,34,9,9,8,7,25,1,1,1,1,25
Ty Dillon,5,29,7,7,7,7,26,0,0,0,6,26
Cole Custer,3,23,7,7,7,7,27,0,0,0,7,27
Harrison Burton,1,21,6,6,6,7,28,0,0,0,8,28
Todd Gilliland,2,21,6,6,6,7,29,0,0,0,9,29
Brad Keselowski,13,37,10,10,9,8,30,27,1,1,1,30
Corey LaJoie,6,30,8,7,7,7,31,0,0,0,10,31
Cody Ware,3,25,6,6,6,7,32,0,0,0,11,32
BJ McLeod,3,37,6,6,6,7,33,0,0,0,12,33
David Ragan,14,36,8,7,7,7,34,0,0,0,13,34
Greg Biffle,17,51,10,9,7,7,35,0,0,0,14,35
Jacques Villeneuve,6,50,8,8,7,7,36,0,0,0,15,36
Boris Said,11,59,9,8,7,7,37,0,0,0,16,37
Joey Hand,1,42,5,6,6,7,38,0,0,0,17,38
Daniel Hemric,3,30,6,6,6,7,39,0,0,0,18,39
Landon Cassill,9,32,7,7,7,7,40,0,0,0,19,40
Kaz Grala,2,23,5,6,6,7,41,0,0,0,20,41
Noah Gragson,1,23,5,6,6,7,42,0,0,0,21,42
Garrett Smithley,6,28,6,6,6,7,43,0,0,0,22,43
Josh Bilicki,4,26,6,6,6,7,44,0,0,0,23,44
AJ Allmendinger,5,40,7,7,7,7,45,0,0,0,24,45
Loris Hezemans,2,24,5,6,6,7,46,0,0,0,25,46
Andy Lally,8,46,8,7,7,7,47,0,0,0,26,47
J.J. Yeley,15,45,8,7,7,7,48,0,0,0,27,48
Josh Williams,3,28,6,6,6,7,49,0,0,0,28,49
Justin Allgaier,14,35,8,8,7,7,50,0,0,0,29,50
Ryan Preece,4,31,6,6,6,7,51,0,0,0,30,51
Zane Smith,1,21,5,6,6,7,52,0,0,0,31,52
Parker Kligerman,9,31,7,7,7,7,53,0,0,0,32,53
