Name,Experience,Age,Consistency,Skill,Speed,Adaptability,FinalPosition,Podiums,Poles,Fastest Laps,Best Finish,Best Grid
Sébastien Ogier,12,38,9,10,9,8,1,10,4,4,1,1
Benjamin Veillas,5,34,8,9,8,7,2,7,1,1,2,2
Oliver Solberg,3,20,7,8,9,8,3,6,0,0,3,3
Elliott Edmondson,2,29,6,7,7,8,4,4,0,0,4,5
Ott Tänak,10,34,9,10,9,8,5,15,2,3,1,6
Martin Järveoja,6,33,8,9,8,7,6,8,0,1,2,7
Thierry Neuville,9,34,9,10,9,8,7,12,1,2,2,4
Martijn Wydaeghe,3,32,7,8,7,7,8,6,0,0,3,8
Adrien Fourmaux,2,26,6,7,7,8,9,4,0,0,4,9
Alexandre Coria,1,30,5,6,6,7,10,2,0,0,5,10
Takamoto Katsuta,4,28,7,8,8,7,11,5,0,1,6,11
Aaron Johnston,1,27,5,6,6,7,12,0,0,0,7,12
Sébastien Loeb,15,47,10,10,9,8,13,20,4,4,1,13
Isabelle Galmiche,8,39,9,10,8,7,14,11,0,0,2,14
Andreas Mikkelsen,10,32,9,9,8,8,15,16,0,1,3,15
Torstein Eriksen,3,30,7,8,7,7,16,0,0,0,4,16
Marco Bulacia,2,21,6,7,7,8,17,0,0,0,5,17
Marcelo Der Ohannesian,1,35,5,6,6,7,18,0,0,0,6,18
Nikolay Gryazin,3,24,7,8,7,8,19,0,0,0,7,19
Konstantin Aleksandrov,1,25,5,6,6,7,20,0,0,0,8,20
Yohan Rossel,3,25,7,8,7,7,21,0,0,0,9,21
Benjamin Bouloud,1,30,5,6,6,7,22,0,0,0,10,22
Eric Camilli,5,35,8,9,8,7,23,0,0,0,11,23
Yannick Roche,1,27,5,6,6,7,24,0,0,0,12,24
Christopher Ingram,2,25,6,7,7,7,25,0,0,0,13,25
Ross Whittock,1,30,5,6,6,7,26,0,0,0,14,26
Sean Johnston,2,30,6,7,7,7,27,0,0,0,15,27
Alexander Kihurani,1,29,5,6,6,7,28,0,0,0,16,28
Erik Cais,2,22,6,7,7,7,29,0,0,0,17,29
Petr Tesínský,3,30,7,8,7,7,30,0,0,0,18,30
Grégoire Munster,2,22,6,7,7,7,31,0,0,0,19,31
Louis Louka,1,21,5,6,6,7,32,0,0,0,20,32
Johannes Keferböck,3,27,7,8,7,7,33,0,0,0,21,33
Ilka Minor,5,57,10,10,8,7,34,0,0,0,22,34
Freddy Loix,12,51,9,9,8,7,35,0,0,0,23,35
Pieter Tsjoen,15,44,10,10,8,7,36,0,0,0,24,36
Olivier Burri,10,37,9,9,7,7,37,0,0,0,25,37
Anderson Levratti,4,31,8,8,7,7,38,0,0,0,26,38
Pierre Ragues,5,39,9,9,7,7,39,0,0,0,27,39
Julien Pesenti,1,28,5,6,6,7,40,0,0,0,28,40
Elfyn Evans,9,32,9,9,8,8,41,0,0,0,29,41
Scott Martin,6,39,9,9,8,7,42,0,0,0,30,42
Mauro Miele,3,33,7,8,7,7,43,0,0,0,31,43
Luca Beltrame,1,23,5,6,6,7,44,0,0,0,32,44
Eamonn Boland,8,54,10,9,7,7,45,0,0,0,33,45
MJ,2,25,6,7,7,7,46,0,0,0,34,46
Frédéric Rosati,1,32,5,6,6,7,47,0,0,0,35,47
Philippe Marchetto,2,43,9,8,6,7,48,0,0,0,36,48
Jean-Michel Raoux,3,45,10,8,7,7,49,0,0,0,37,49
